Deleting copies...Done
Creating a copy of your module... Done
Loading mutators... Done
Verifying and timing your test suite
Took 7.50 seconds to run full test suite
Running mutants for index.js
MUTANT 129:	RFCAM Line 149:	styles.bgColor.ansi256[key] = wrapAnsi256(suite.ansi256, 10);	killed 12881 ms
MUTANT 130:	RFCAM Line 149:	styles.bgColor.ansi256[key] = wrapAnsi256(suite.ansi256, 10);	killed 13363 ms
MUTANT 131:	RFCAM Line 153:	styles.color.ansi16m[key] = wrapAnsi16m(suite.rgb, 0);	killed 13940 ms
MUTANT 132:	RFCAM Line 153:	styles.color.ansi16m[key] = wrapAnsi16m(suite.rgb, 0);	killed 13362 ms
MUTANT 133:	RFCAM Line 154:	styles.bgColor.ansi16m[key] = wrapAnsi16m(suite.rgb, 10);	killed 10102 ms
MUTANT 134:	RFCAM Line 154:	styles.bgColor.ansi16m[key] = wrapAnsi16m(suite.rgb, 10);	killed 11744 ms
MUTANT 135:	RFCAM Line 162:	Object.defineProperty(module, '('exports', {	killed 9683 ms
MUTANT 136:	RFCAM Line 162:	Object.defineProperty(module, 'exports', {	killed 5963 ms
MUTANT 137:	RFCAM Line 162:	Object.defineProperty(module, 'exports'bject.defineProperty(module, 'exports', {	killed 3223 ms
MUTANT 138:	RFM Lines 4-7: Commented function (assigned / anonymous)	killed 3829 ms
MUTANT 139:	RFM Lines 4-7: Commented function (assigned / anonymous)	killed 3776 ms
MUTANT 140:	RFM Lines 9-12: Commented function (assigned / anonymous)	killed 3784 ms
MUTANT 141:	RFM Lines 9-12: Commented function (assigned / anonymous)	killed 3696 ms
MUTANT 142:	RFM Lines 14-17: Commented function (assigned / anonymous)	killed 3800 ms
MUTANT 143:	RFM Lines 14-17: Commented function (assigned / anonymous)	killed 3629 ms
MUTANT 144:	RFM Lines 19-159: Commented function assembleStyles	killed 3875 ms
MUTANT 145:	RFM Lines 105-105: Commented function (assigned / anonymous)	killed 3886 ms
MUTANT 146:	RFM Lines 106-106: Commented function (assigned / anonymous)	killed 3843 ms
MUTANT 147:	RLM Commented line 2:	const colorConvert = require('color-convert');	killed 4665 ms
MUTANT 148:	RLM Commented line 5:	const code = fn.apply(colorConvert, arguments);	killed 3751 ms
MUTANT 149:	RLM Commented line 6:	return `\u001B[${code + offset}m`;	killed 3803 ms
MUTANT 150:	RLM Commented line 10:	const code = fn.apply(colorConvert, arguments);	killed 3790 ms
MUTANT 151:	RLM Commented line 11:	return `\u001B[${38 + offset};5;${code}m`;	killed 3708 ms
MUTANT 152:	RLM Commented line 15:	const rgb = fn.apply(colorConvert, arguments);	killed 3821 ms
MUTANT 153:	RLM Commented line 16:	return `\u001B[${38 + offset};2;${rgb[0]};${rgb[1]};${rgb[2]}m`;	killed 3817 ms
MUTANT 154:	RLM Commented line 20:	const codes = new Map();	killed 4276 ms
MUTANT 155:	RLM Commented line 76:	styles.color.grey = styles.color.gray;	killed 3871 ms
MUTANT 156:	RLM Commented line 79:	const group = styles[groupName];	killed 3834 ms
MUTANT 157:	RLM Commented line 82:	const style = group[styleName];	killed 3899 ms
MUTANT 158:	RLM Commented line 89:	group[styleName] = styles[styleName];	killed 3775 ms
MUTANT 159:	RLM Commented line 91:	codes.set(style[0], style[1]);	killed 3759 ms
MUTANT 160:	RLM Commented line 105:	const ansi2ansi = n => n;	killed 4008 ms
MUTANT 161:	RLM Commented line 106:	const rgb2rgb = (r, g, b) => [r, g, b];	killed 3804 ms
MUTANT 162:	RLM Commented line 108:	styles.color.close = '\u001B[39m';	killed 4274 ms
MUTANT 163:	RLM Commented line 109:	styles.bgColor.close = '\u001B[49m';	killed 3965 ms
MUTANT 164:	RLM Commented line 133:	continue;	killed 3784 ms
MUTANT 165:	RLM Commented line 136:	const suite = colorConvert[key];	killed 3685 ms
MUTANT 166:	RLM Commented line 139:	key = 'ansi';	killed 3735 ms
MUTANT 167:	RLM Commented line 143:	styles.color.ansi[key] = wrapAnsi16(suite.ansi16, 0);	killed 3842 ms
MUTANT 168:	RLM Commented line 144:	styles.bgColor.ansi[key] = wrapAnsi16(suite.ansi16, 10);	killed 3863 ms
MUTANT 169:	RLM Commented line 148:	styles.color.ansi256[key] = wrapAnsi256(suite.ansi256, 0);	killed 5827 ms
MUTANT 170:	RLM Commented line 149:	styles.bgColor.ansi256[key] = wrapAnsi256(suite.ansi256, 10);	killed 5311 ms
MUTANT 171:	RLM Commented line 153:	styles.color.ansi16m[key] = wrapAnsi16m(suite.rgb, 0);	killed 8859 ms
MUTANT 172:	RLM Commented line 154:	styles.bgColor.ansi16m[key] = wrapAnsi16m(suite.rgb, 10);	killed 9464 ms
MUTANT 173:	RLM Commented line 158:	return styles;	killed 9896 ms
MUTANT 174:	ROPM Lines 22-32: Commented property modifier	killed 7511 ms
MUTANT 175:	ROPM Line 23:	reset: [0, 0],	killed 7531 ms
